"Site Visit","Kundeneinsatz"
"Planned appointment window - independent of From Time/To Time below, which record when the visit actually happened. Set this to schedule a visit in advance and have it show up on the ""Site Visit"" calendar view; leave empty for a visit that is only recorded after the fact.","Geplantes Zeitfenster fuer den Termin - unabhaengig von Von/Bis weiter unten, die die tatsaechliche Einsatzzeit festhalten. Hiermit laesst sich ein Einsatz im Voraus planen und erscheint dann in der Kalenderansicht von ""Site Visit""; leer lassen, wenn der Einsatz erst im Nachhinein erfasst wird."
"One-Way Trip Only","Nur einfache Strecke"
"E.g. driving straight on to the next customer afterwards - bills only the one-way distance instead of a round trip (see Site Visit Settings -> Mileage Item).","Z. B. wenn direkt zum naechsten Kunden weitergefahren wird - berechnet nur die einfache Strecke statt Hin- und Rueckweg (siehe Site Visit Settings -> Mileage Item)."
"Mileage Item","Fahrtkosten-Artikel"
"Item whose Selling Price List rate is billed per kilometer when ""Calculate Mileage"" adds a line to the Site Visit's Sales Order (round trip by default, see ""One-Way Trip Only"" on the Site Visit). Leave empty to not bill mileage automatically.","Artikel, dessen Verkaufspreis pro Kilometer berechnet wird, wenn ""Kilometer berechnen"" eine Position im Auftrag des Site Visit anlegt (standardmaessig Hin- und Rueckweg, siehe ""Nur einfache Strecke"" am Site Visit). Leer lassen, um Fahrtkosten nicht automatisch abzurechnen."
"Scheduling Conflict","Terminkonflikt"
"This schedule overlaps {0} existing visit(s) for {1}:<ul>{2}</ul>","Diese Planung überschneidet sich mit {0} bereits vorhandenen Termin(en) für {1}:<ul>{2}</ul>"
"Scheduling conflict: {0} already has {1} overlapping visit(s).","Terminkonflikt: {0} hat bereits {1} überlappende(n) Termin(e)."
"Dispatch Board","Einsatzplan"
"General","Allgemein"
"Time Zone","Zeitzone"
"Time zone this business operates in - independent of the site-wide System Settings time zone (which this app deliberately does not rely on for displaying scheduled appointments, see Calendar view). Also the time zone future integrations (e.g. an Office 365/Outlook calendar sync) would use. Includes daylight saving time (summer time) automatically, like every IANA time zone name.","Zeitzone, in der dieses Unternehmen taetig ist - unabhaengig von der site-weiten Zeitzone in System Settings (auf die sich diese App fuer die Anzeige geplanter Termine bewusst nicht verlaesst, siehe Kalenderansicht). Auch die Zeitzone, die zukuenftige Anbindungen (z. B. ein Office-365/Outlook-Kalender-Sync) verwenden wuerden. Beruecksichtigt die Sommerzeit automatisch, wie jeder IANA-Zeitzonenname."
"Scheduling","Terminplanung"
"Calendar Tooltip Field","Tooltip-Feld im Kalender"
"Which field to show, alongside the (already correctly local) start/end time, when hovering over a scheduled Site Visit in the Calendar view or the Dispatch Board.","Welches Feld zusaetzlich zur (bereits korrekten) Start-/Endzeit angezeigt wird, wenn man in der Kalenderansicht oder im Einsatzplan mit der Maus ueber einen geplanten Site Visit faehrt."
"Features","Funktionen"
"Enable Mileage Calculation","Kilometerberechnung aktivieren"
"Hides the mileage/distance fields on Site Visit (Start Address, Customer Site Address, Distance) and the ""Calculate Mileage"" button, and stops billing mileage automatically. Turn off if this business doesn't bill travel distance.","Blendet die Kilometer-/Entfernungsfelder am Site Visit aus (Start Address, Customer Site Address, Distance) sowie den Knopf ""Calculate Mileage"", und stoppt die automatische Kilometerabrechnung. Ausschalten, wenn Fahrtstrecke nicht abgerechnet wird."
"Enable Remote Visits","Fernarbeit aktivieren"
"Hides the ""Remote Visit"" checkbox on Site Visit and the e-signature-link workflow. Turn off if every visit is always in-person.","Blendet den Haken ""Remote Visit"" am Site Visit sowie den Fernunterschrift-Link-Ablauf aus. Ausschalten, wenn jeder Einsatz immer vor Ort stattfindet."
"Enable Photos","Fotos aktivieren"
"Hides the Photos section on Site Visit. Turn off if visits aren't documented with photos.","Blendet den Bereich ""Photos"" am Site Visit aus. Ausschalten, wenn Einsaetze nicht mit Fotos dokumentiert werden."
"Enable Additional Items","Zusätzliche Artikel aktivieren"
"Hides the Additional Items table on Site Visit (and the Excluded Item Groups setting below, which only applies to it). Turn off if this business only bills time, never material/hardware used on-site.","Blendet die Tabelle ""Additional Items"" am Site Visit aus (und die Einstellung ""Excluded Item Groups"" darunter, die nur dafuer gilt). Ausschalten, wenn ausschliesslich Zeit abgerechnet wird, nie vor Ort verwendetes Material/Hardware."
"Mileage calculation is disabled in Site Visit Settings.","Die Kilometerberechnung ist in Site Visit Settings deaktiviert."
